iter	Passed	Remaining
0	159	159359
1	173	86675
2	183	60875
3	196	49048
4	245	48938
5	236	39252
6	255	36200
7	276	34276
8	288	31765
9	306	30299
10	323	29102
11	335	27593
12	345	26253
13	388	27375
14	407	26759
15	419	25813
16	435	25207
17	451	24654
18	476	24583
19	490	24021
20	501	23388
21	517	22991
22	535	22741
23	550	22405
24	566	22097
25	577	21642
26	591	21312
27	611	21242
28	634	21242
29	649	20990
30	673	21047
31	684	20707
32	695	20384
33	708	20131
34	720	19862
35	743	19909
36	763	19865
37	776	19668
38	790	19475
39	806	19360
40	823	19265
41	841	19190
42	857	19076
43	870	18919
44	888	18865
45	908	18843
46	919	18650
47	936	18565
48	951	18472
49	962	18292
50	979	18234
51	995	18142
52	1014	18134
53	1023	17931
54	1043	17927
55	1059	17867
56	1071	17734
57	1093	17767
58	1107	17670
59	1125	17635
60	1143	17600
61	1162	17584
62	1176	17500
63	1194	17466
64	1206	17356
65	1217	17222
66	1240	17273
67	1249	17130
68	1260	17008
69	1271	16893
70	1287	16846
71	1302	16785
72	1312	16666
73	1330	16655
74	1343	16564
75	1366	16619
76	1381	16558
77	1397	16516
78	1408	16416
79	1423	16370
80	1440	16345
81	1463	16383
82	1478	16330
83	1491	16261
84	1508	16241
85	1529	16260
86	1552	16288
87	1568	16255
88	1584	16219
89	1607	16256
90	1626	16245
91	1644	16232
92	1659	16181
93	1678	16173
94	1699	16193
95	1720	16199
96	1734	16148
97	1749	16099
98	1764	16061
99	1782	16040
100	1795	15983
101	1811	15948
102	1825	15893
103	1839	15845
104	1855	15818
105	1873	15800
106	1890	15774
107	1908	15759
108	1922	15715
109	1944	15736
110	1962	15716
111	1973	15649
112	1990	15622
113	2009	15614
114	2023	15572
115	2042	15565
116	2059	15545
117	2078	15536
118	2085	15439
119	2101	15407
120	2114	15364
121	2135	15371
122	2146	15307
123	2168	15321
124	2187	15313
125	2207	15309
126	2222	15276
127	2237	15245
128	2254	15219
129	2268	15184
130	2282	15144
131	2303	15146
132	2318	15112
133	2336	15098
134	2352	15072
135	2365	15030
136	2380	14994
137	2395	14966
138	2411	14936
139	2434	14953
140	2442	14878
141	2456	14842
